Category,Description/Detail
General Facilities,"Free Wi-Fi, Car parking, Generator backup."
Dining,In-house restaurant serving vegetarian and non-vegetarian Konkani cuisine.
Recreation,"Indoor swimming pool with waterfall, Lawn area for games."
Check-in Time,12:00 PM (Noon)
Check-out Time,11:00
Cancellation Policy,Full refund if cancelled 7 days prior. 50% refund if cancelled 3-6 days prior. No refund for cancellations within 48 hours.
Nearest Airport,"Mumbai (107 km), Pune (153 km)"
Nearest Railway,Pen (35 km)
By Ferry,"Catamarans from Gateway of India to Mandwa Jetty, followed by a short bus/taxi ride."
Export to Sheets,